trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_input_len,cfg_layer,cfg_num_heads,cfg_num_layers,cfg_prompt,metric_avg_entropy,metric_avg_top5_mass,metric_avg_top_prob,metric_budget_frac,metric_budget_tokens,metric_entropy_max,metric_entropy_mean,metric_entropy_min,metric_entropy_std,metric_focused_head_count,metric_h2o_quality,metric_h2o_vs_window,metric_layer,metric_max_top_prob,metric_memory_saved_pct,metric_min_top_prob,metric_most_diffuse_head_entropy,metric_most_focused_head_entropy,metric_nonfinite_token_steps,metric_num_tokens,metric_seq_len,metric_sink_mass_max,metric_sink_mass_mean,metric_sink_quality,metric_skip_rate_50,metric_skip_rate_80,metric_skip_rate_90,metric_skip_rate_95,metric_skip_rate_99,metric_sparsity_mean,metric_valid_tokens,metric_window_quality
real_model_analysis_phi_2_t0030,completed,0.0000,0.1,kv_cache_real,,27,,,code_simple,,,,0.1,4,,,,,,0.9016284958693463,380.39738475571613,27,,90.0,,,,,,47,,,0.3643039559180496,,,,,,,,0.0023702279037705657
real_model_analysis_phi_2_t0031,completed,0.0000,0.1,kv_cache_real,,28,,,code_simple,,,,0.1,4,,,,,,0.8810672693083862,282.24941877052055,28,,90.0,,,,,,47,,,0.35089219392406246,,,,,,,,0.003121591084744544
real_model_analysis_phi_2_t0032,completed,0.0000,0.1,kv_cache_real,,29,,,code_simple,,,,0.1,4,,,,,,0.47256486282228577,117.9759016011718,29,,90.0,,,,,,47,,,0.24231475400259705,,,,,,,,0.004005605012622273
real_model_analysis_phi_2_t0033,completed,0.0000,0.1,kv_cache_real,,30,,,code_simple,,,,0.1,4,,,,,,0.4607444070779833,86.53639620524874,30,,90.0,,,,,,47,,,0.26882564659959524,,,,,,,,0.005324284662665876
real_model_analysis_phi_2_t0034,completed,0.0000,0.1,kv_cache_real,,31,,,code_simple,,,,0.1,4,,,,,,0.7179339269414581,274.2515733962183,31,,90.0,,,,,,47,,,0.2126269784514457,,,,,,,,0.0026177932839212574
real_model_analysis_phi_2_t0035,completed,0.0000,0.2,kv_cache_real,,0,,,code_simple,,,,0.2,9,,,,,,0.4364442928658906,4.64907217261374,0,,80.0,,,,,,47,,,0.21250802814870018,,,,,,,,0.09387771939460313
real_model_analysis_phi_2_t0036,completed,0.0000,0.2,kv_cache_real,,1,,,code_simple,,,,0.2,9,,,,,,0.6160526317071021,7.000578988326849,1,,80.0,,,,,,47,,,0.18439363591191818,,,,,,,,0.08800024008504757
real_model_analysis_phi_2_t0037,completed,0.0000,0.2,kv_cache_real,,2,,,code_simple,,,,0.2,9,,,,,,0.8134732024183112,33.06982246470695,2,,80.0,,,,,,47,,,0.3481516905257704,,,,,,,,0.02459865647257323
real_model_analysis_phi_2_t0038,completed,0.0000,0.2,kv_cache_real,,3,,,code_simple,,,,0.2,9,,,,,,0.8963795440354166,73.628522253217,3,,80.0,,,,,,47,,,0.38916888299545327,,,,,,,,0.012174351957691936
real_model_analysis_phi_2_t0039,completed,0.0000,0.2,kv_cache_real,,4,,,code_simple,,,,0.2,9,,,,,,0.8974269795486894,65.71542559711978,4,,80.0,,,,,,47,,,0.3960631016046253,,,,,,,,0.013656260632785472
real_model_analysis_phi_2_t0040,completed,0.0000,0.2,kv_cache_real,,5,,,code_simple,,,,0.2,9,,,,,,0.860311897356648,44.09399600541417,5,,80.0,,,,,,47,,,0.4058923098650079,,,,,,,,0.01951086259569246
real_model_analysis_phi_2_t0041,completed,0.0000,0.2,kv_cache_real,,6,,,code_simple,,,,0.2,9,,,,,,0.8840512615816849,53.05388425686405,6,,80.0,,,,,,47,,,0.41085903032571647,,,,,,,,0.01666327119992741
real_model_analysis_phi_2_t0042,completed,0.0000,0.2,kv_cache_real,,7,,,code_simple,,,,0.2,9,,,,,,0.890552232088687,64.10088782188792,7,,80.0,,,,,,47,,,0.4151408592170777,,,,,,,,0.013892978121663372
real_model_analysis_phi_2_t0043,completed,0.0000,0.2,kv_cache_real,,8,,,code_simple,,,,0.2,9,,,,,,0.9104058867011625,82.14925318482926,8,,80.0,,,,,,47,,,0.4040468229921954,,,,,,,,0.011082339174195802
real_model_analysis_phi_2_t0044,completed,0.0000,0.2,kv_cache_real,,9,,,code_simple,,,,0.2,9,,,,,,0.8885682885153382,53.256367703999494,9,,80.0,,,,,,47,,,0.3979880335827155,,,,,,,,0.016684733240802822
real_model_analysis_phi_2_t0045,completed,0.0000,0.2,kv_cache_real,,10,,,code_simple,,,,0.2,9,,,,,,0.8770773263380627,46.43765648257521,10,,80.0,,,,,,47,,,0.4131181616636386,,,,,,,,0.018887200448350967
real_model_analysis_phi_2_t0046,completed,0.0000,0.2,kv_cache_real,,11,,,code_simple,,,,0.2,9,,,,,,0.8508285947532316,40.57981859317164,11,,80.0,,,,,,47,,,0.40771720428833313,,,,,,,,0.02096679148034438
real_model_analysis_phi_2_t0047,completed,0.0000,0.2,kv_cache_real,,12,,,code_simple,,,,0.2,9,,,,,,0.8794487066232538,45.41518824313978,12,,80.0,,,,,,47,,,0.41122995377237725,,,,,,,,0.01936463858555292
real_model_analysis_phi_2_t0048,completed,0.0000,0.2,kv_cache_real,,13,,,code_simple,,,,0.2,9,,,,,,0.8970925124720706,54.733168675370024,13,,80.0,,,,,,47,,,0.41784776346863495,,,,,,,,0.016390290096172763
real_model_analysis_phi_2_t0049,completed,0.0000,0.2,kv_cache_real,,14,,,code_simple,,,,0.2,9,,,,,,0.8699338543822486,39.297175463590705,14,,80.0,,,,,,47,,,0.41303381136730705,,,,,,,,0.022137312519782817
