trial_id,status,duration_s,cfg_bits,cfg_hidden_dim,cfg_layer_idx,cfg_layer_position,cfg_model,cfg_num_layers,metric_cosine_similarity,metric_kl_divergence,metric_mse,metric_outlier_pct,metric_sensitivity,metric_weight_range,metric_weight_std
quantization_sensitivity_t0035,completed,0.1613,8,768,5,0.4166666666666667,12L-768H,12,0.9998863339424133,3.3620744943618774e-06,0.00022810361406300217,0.2717230003327131,0.00011366605758666992,0.2515350580215454,0.02455754578113556
quantization_sensitivity_t0036,completed,0.0959,16,768,5,0.4166666666666667,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.2717230003327131,-4.76837158203125e-07,0.2515350580215454,0.02455754578113556
quantization_sensitivity_t0037,completed,0.1675,2,768,6,0.5,12L-768H,12,0.6156136989593506,0.013617966324090958,0.7687696814537048,0.2706421772018075,0.3843863010406494,0.2752903699874878,0.02545170858502388
quantization_sensitivity_t0038,completed,0.1558,3,768,6,0.5,12L-768H,12,0.880616307258606,0.0039455220103263855,0.23876674473285675,0.2706421772018075,0.11938369274139404,0.2752903699874878,0.02545170858502388
quantization_sensitivity_t0039,completed,0.1594,4,768,6,0.5,12L-768H,12,0.9682425260543823,0.0010002641938626766,0.0635150596499443,0.2706421772018075,0.031757473945617676,0.2752903699874878,0.02545170858502388
quantization_sensitivity_t0040,completed,0.1595,6,768,6,0.5,12L-768H,12,0.9980855584144592,6.401073187589645e-05,0.003829368157312274,0.2706421772018075,0.0019144415855407715,0.2752903699874878,0.02545170858502388
quantization_sensitivity_t0041,completed,0.1734,8,768,6,0.5,12L-768H,12,0.9998888373374939,3.463122993707657e-06,0.00022308016195893288,0.2706421772018075,0.00011116266250610352,0.2752903699874878,0.02545170858502388
quantization_sensitivity_t0042,completed,0.1000,16,768,6,0.5,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.2706421772018075,-4.76837158203125e-07,0.2752903699874878,0.02545170858502388
quantization_sensitivity_t0043,completed,0.1643,2,768,7,0.5833333333333334,12L-768H,12,0.6260669827461243,0.011572832241654396,0.7478634715080261,0.2696249168366194,0.37393301725387573,0.2867735028266907,0.02636101469397545
quantization_sensitivity_t0044,completed,0.2059,3,768,7,0.5833333333333334,12L-768H,12,0.8891275525093079,0.003543669357895851,0.22174428403377533,0.2696249168366194,0.11087244749069214,0.2867735028266907,0.02636101469397545
quantization_sensitivity_t0045,completed,0.1598,4,768,7,0.5833333333333334,12L-768H,12,0.9729024171829224,0.0007689855992794037,0.05419544875621796,0.2696249168366194,0.027097582817077637,0.2867735028266907,0.02636101469397545
quantization_sensitivity_t0046,completed,0.1610,6,768,7,0.5833333333333334,12L-768H,12,0.9982386231422424,5.783373489975929e-05,0.0035235534887760878,0.2696249168366194,0.0017613768577575684,0.2867735028266907,0.02636101469397545
quantization_sensitivity_t0047,completed,0.1613,8,768,7,0.5833333333333334,12L-768H,12,0.9998924136161804,3.112480044364929e-06,0.0002157945855287835,0.2696249168366194,0.00010758638381958008,0.2867735028266907,0.02636101469397545
quantization_sensitivity_t0048,completed,0.0947,16,768,7,0.5833333333333334,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.2696249168366194,-4.76837158203125e-07,0.2867735028266907,0.02636101469397545
