trial_id,status,duration_s,cfg_input_len,cfg_kv_policy,cfg_prompt,cfg_prune_fraction,cfg_quant_level,metric_combined_quality,metric_combined_speed_factor,metric_kv_memory_saved_pct,metric_kv_quality,metric_kv_speed_factor,metric_prune_quality,metric_prune_speed_factor,metric_quality_speed_score,metric_quant_cosine_sim,metric_quant_speed_factor,metric_quant_top_agree
optimization_stacking_t0011,completed,0.0030,61,h2o_50,code,0.0,int8_sim,0.859335724024197,1.7647058823529411,50.0,0.8593778292564148,1.1764705882352942,1.0,1.0,1.5164748071015242,0.9999510049819946,1.5,1.0
optimization_stacking_t0012,completed,0.0031,61,h2o_50,code,0.0,int4_sim,0.8583659718875205,2.3529411764705883,50.0,0.8593778292564148,1.1764705882352942,1.0,1.0,2.0196846397353423,0.9988225698471069,2.0,1.0
optimization_stacking_t0013,completed,0.0231,61,h2o_50,code,0.25,fp16,0.6445297797207074,1.3445378151260503,50.0,0.8593778292564148,1.1764705882352942,0.7500000221016577,1.1428571428571428,0.8665946618093543,0.9999943971633911,1.0,1.0
optimization_stacking_t0014,completed,0.0196,61,h2o_50,code,0.25,int8_sim,0.6445015046734213,2.0168067226890756,50.0,0.8593778292564148,1.1764705882352942,0.7500000221016577,1.1428571428571428,1.2998349674085807,0.9999505281448364,1.5,1.0
optimization_stacking_t0015,completed,0.0196,61,h2o_50,code,0.25,int4_sim,0.6437811440597508,2.6890756302521006,50.0,0.8593778292564148,1.1764705882352942,0.7500000221016577,1.1428571428571428,1.7311761857068928,0.9988328814506531,2.0,1.0
optimization_stacking_t0016,completed,0.0201,61,h2o_50,code,0.5,fp16,0.42968657584816333,1.5686274509803921,50.0,0.8593778292564148,1.1764705882352942,0.5000000799382063,1.3333333333333333,0.6740181581931973,0.9999943971633911,1.0,1.0
optimization_stacking_t0017,completed,0.0256,61,h2o_50,code,0.5,int8_sim,0.4296676745912627,2.3529411764705883,50.0,0.8593778292564148,1.1764705882352942,0.5000000799382063,1.3333333333333333,1.0109827637441475,0.9999504089355469,1.5,1.0
optimization_stacking_t0018,completed,0.0244,61,h2o_50,code,0.5,int4_sim,0.4291836692350175,3.1372549019607843,50.0,0.8593778292564148,1.1764705882352942,0.5000000799382063,1.3333333333333333,1.3464585701490746,0.9988240003585815,2.0,1.0
optimization_stacking_t0019,completed,0.0027,61,h2o_30,code,0.0,fp16,0.7493772228745069,1.2658227848101264,70.0,0.7493814215361695,1.2658227848101264,1.0,1.0,0.9485787631322872,0.9999943971633911,1.0,1.0
optimization_stacking_t0020,completed,0.0036,61,h2o_30,code,0.0,int8_sim,0.7493451075794493,1.8987341772151898,70.0,0.7493814215361695,1.2658227848101264,1.0,1.0,1.4228071662900934,0.9999515414237976,1.5,1.0
optimization_stacking_t0021,completed,0.0028,61,h2o_30,code,0.0,int4_sim,0.7484931812614619,2.531645569620253,70.0,0.7493814215361695,1.2658227848101264,1.0,1.0,1.8949194462315488,0.9988147020339966,2.0,1.0
optimization_stacking_t0022,completed,0.0266,61,h2o_30,code,0.25,fp16,0.562032933718359,1.446654611211573,70.0,0.7493814215361695,1.2658227848101264,0.7500000221016577,1.1428571428571428,0.8130675352164325,0.9999943971633911,1.0,1.0
optimization_stacking_t0023,completed,0.0268,61,h2o_30,code,0.25,int8_sim,0.5620078757474853,2.1699819168173597,70.0,0.7493814215361695,1.2658227848101264,0.7500000221016577,1.1428571428571428,1.2195469274809807,0.9999498128890991,1.5,1.0
optimization_stacking_t0024,completed,0.0246,61,h2o_30,code,0.25,int4_sim,0.561378344479224,2.893309222423146,70.0,0.7493814215361695,1.2658227848101264,0.7500000221016577,1.1428571428571428,1.6242411413503766,0.99882972240448,2.0,1.0
optimization_stacking_t0025,completed,0.0219,61,h2o_30,code,0.5,fp16,0.37468867134112444,1.6877637130801686,70.0,0.7493814215361695,1.2658227848101264,0.5000000799382063,1.3333333333333333,0.6323859431917711,0.9999943971633911,1.0,1.0
optimization_stacking_t0026,completed,0.0221,61,h2o_30,code,0.5,int8_sim,0.37467254669109756,2.531645569620253,70.0,0.7493814215361695,1.2658227848101264,0.5000000799382063,1.3333333333333333,0.9485380928888545,0.9999513626098633,1.5,1.0
optimization_stacking_t0027,completed,0.0259,61,h2o_30,code,0.5,int4_sim,0.37425107245937,3.375527426160337,70.0,0.7493814215361695,1.2658227848101264,0.5000000799382063,1.3333333333333333,1.2632947593565231,0.9988265037536621,2.0,1.0
